date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
2011-05-02,1.84,1.85334,1.8039999999999998,1.8299999999999998,11768399,27.45,-0.54,20877233.7
2011-05-03,1.82534,1.826,1.76666,1.79134,13709474,26.8701,-2.11,19605787.25
2011-05-04,1.78534,1.8,1.71666,1.7793400000000001,15707534,26.6901,-0.67,18004868.8
2011-05-05,1.81334,1.82934,1.74468,1.7626600000000001,18291734,26.4399,-0.93,17953232.8
2011-05-06,1.79334,1.84666,1.7746600000000001,1.808,14724089,27.12,2.57,16581362.85
2011-05-09,1.8,1.86666,1.79,1.86066,13744544,27.9099,2.91,15808826.1
2011-05-10,1.8826599999999998,1.93,1.86066,1.8886599999999998,23034389,28.3299,1.5,15931395.6
2011-05-11,1.88,1.88656,1.79466,1.80466,14444474,27.0699,-4.45,15635568.6
2011-05-12,1.80466,1.84934,1.77666,1.84466,9416100,27.6699,2.22,15197790.65
2011-05-13,1.86666,1.8792799999999998,1.82,1.83666,9923655,27.5499,-0.43,14956436.95
2011-05-16,1.8659999999999999,1.8659999999999999,1.77,1.7733400000000001,11334330,26.6001,-3.45,14815565.25
2011-05-17,1.8,1.8,1.7146599999999999,1.73066,18512339,25.9599,-2.4,14965779.0
2011-05-18,1.74,1.76466,1.7013399999999999,1.75666,10941105,26.3499,1.5,15101314.5
2011-05-19,1.802,1.8960000000000001,1.7733400000000001,1.88,39830503,28.2,7.02,16464737.95
2011-05-20,1.8840000000000001,1.88534,1.82334,1.86466,12638009,27.9699,-0.81,16057098.7
2011-05-23,1.84134,1.84134,1.7746600000000001,1.788,12953219,26.82,-4.11,16104130.45
2011-05-24,1.80134,1.83334,1.7733400000000001,1.78134,9205095,26.7201,-0.37,15535128.0
2011-05-25,1.79334,1.9340000000000002,1.7446599999999999,1.932,70407162,28.98,8.46,18307810.4
2011-05-26,1.92134,1.984,1.87334,1.96534,50053363,29.4801,1.72,19576730.85
2011-05-27,1.9693399999999999,1.978,1.92134,1.97,25306034,29.55,0.24,20297277.55
2011-05-31,1.97934,2.01866,1.97,2.00934,49357828,30.1401,1.99,22176749.0
2011-06-01,2.0,2.00666,1.892,1.9011399999999998,22955939,28.5171,-5.38,22639072.25
2011-06-02,1.90134,1.95466,1.9006599999999998,1.91734,14794409,28.7601,0.85,22593416.0
2011-06-03,1.9966599999999999,2.1,1.96666,2.00866,93153131,30.1299,4.77,26336485.85
2011-06-06,2.00666,2.00866,1.8840000000000001,1.9133399999999998,34976503,28.7001,-4.75,27349106.55
2011-06-07,1.92934,1.95934,1.8840000000000001,1.89134,18331484,28.3701,-1.15,27578453.55
2011-06-08,1.8960000000000001,1.90666,1.80134,1.808,25454039,27.12,-4.4,27699436.05
2011-06-09,1.82866,1.87334,1.8066600000000002,1.84134,24063299,27.6201,1.84,28180377.3
2011-06-10,1.83466,1.8865999999999998,1.82334,1.85734,23497979,27.8601,0.87,28884471.25
2011-06-13,1.87134,1.9253399999999998,1.85866,1.89534,25706414,28.4301,2.05,29673609.2
2011-06-14,1.90266,1.98,1.90134,1.90666,23599649,28.5999,0.6,30286875.15
2011-06-15,1.8960000000000001,1.89666,1.80466,1.82134,20198684,27.3201,-4.48,30371192.4
2011-06-16,1.84466,1.86666,1.716,1.76666,27631859,26.4999,-3.0,31205730.1
2011-06-17,1.79134,1.84666,1.74266,1.76666,25709474,26.4999,0.0,30499678.65
2011-06-20,1.7526599999999999,1.764,1.7,1.734,23065634,26.01,-1.85,31021059.9
2011-06-21,1.7493400000000001,1.84866,1.7333399999999999,1.83534,22448444,27.5301,5.84,31495821.15
2011-06-22,1.82466,1.88334,1.8066600000000002,1.814,22132994,27.21,-1.16,32142216.1
2011-06-23,1.81334,1.8479999999999999,1.7473400000000001,1.84734,17549849,27.7101,1.84,29499350.45
2011-06-24,1.84266,1.86466,1.81734,1.83766,54132868,27.5649,-0.52,29703325.7
2011-06-27,1.84866,1.88534,1.82066,1.83066,27140504,27.4599,-0.38,29795049.2
2011-06-28,1.85266,1.88334,1.84466,1.8739999999999999,13336979,28.11,2.37,27994006.75
2011-06-29,1.9,1.9393399999999998,1.87134,1.886,21925619,28.29,0.64,27942490.75
2011-06-30,1.9,1.95534,1.8933399999999998,1.942,14199809,29.13,2.97,27912760.75
2011-07-01,1.938,1.97334,1.92,1.93466,12822584,29.0199,-0.38,23896233.4
2011-07-05,1.93466,1.968,1.914,1.94266,14939834,29.1399,0.41,22894399.95
2011-07-06,1.94266,1.94266,1.90334,1.93066,13903334,28.9599,-0.62,22672992.45
2011-07-07,1.94266,2.0,1.9340000000000002,1.982,19917314,29.73,2.66,22396156.2
2011-07-08,1.99266,1.99266,1.906,1.9206599999999998,18608699,28.8099,-3.09,22123426.2
2011-07-11,1.8933399999999998,1.9020000000000001,1.86666,1.8900000000000001,14635544,28.35,-1.6,21680304.45
2011-07-12,1.89134,1.9393399999999998,1.86666,1.8780000000000001,15681089,28.17,-0.63,21179038.2
2011-07-13,1.89534,1.93534,1.8599999999999999,1.90934,15989129,28.6401,1.67,20798512.2
2011-07-14,1.9020000000000001,1.93066,1.81666,1.84066,17386964,27.6099,-3.59,20657926.2
2011-07-15,1.85266,1.85534,1.82666,1.83866,10634310,27.5799,-0.11,19808048.75
2011-07-18,1.82266,1.8299999999999998,1.77534,1.81534,12784754,27.2301,-1.27,19161812.75
2011-07-19,1.83866,1.8739999999999999,1.8359999999999999,1.85934,15390719,27.8901,2.42,18778067.0
2011-07-20,1.86666,2.02934,1.85334,1.91266,45725908,28.6899,2.87,19941940.2
2011-07-21,1.92734,1.944,1.87334,1.9133399999999998,15180089,28.7001,0.03,19594294.95
2011-07-22,1.9133399999999998,1.9693399999999999,1.9033999999999998,1.9526599999999998,8758020,29.2899,2.06,19154703.5
2011-07-25,1.9340000000000002,1.95,1.8960000000000001,1.89934,10102365,28.4901,-2.73,16953178.35
2011-07-26,1.8873399999999998,1.918,1.86466,1.86666,11443980,27.9999,-1.72,16168352.15
2011-07-27,1.9,1.9,1.834,1.84266,14376044,27.6399,-1.29,16220305.4
2011-07-28,1.84,1.90334,1.8359999999999999,1.8780000000000001,14080934,28.17,1.92,15828071.15
2011-07-29,1.85334,1.8933399999999998,1.83334,1.8780000000000001,14221904,28.17,0.0,15829175.9
2011-08-01,1.91134,1.932,1.88066,1.918,17472329,28.77,2.13,16061663.15
2011-08-02,1.91266,1.9466599999999998,1.8179999999999998,1.82266,23239799,27.3399,-4.97,16476661.4
2011-08-03,1.83334,1.85534,1.7557399999999999,1.81334,27019934,27.2001,-0.52,17132491.4
2011-08-04,1.7673400000000001,1.79266,1.6446599999999998,1.65,45983938,24.75,-9.01,18435822.6
2011-08-05,1.666,1.692,1.5219999999999998,1.6159999999999999,29465639,24.24,-2.06,18978669.6
2011-08-08,1.54,1.62934,1.54,1.576,39128578,23.64,-2.48,20203321.3
2011-08-09,1.6099999999999999,1.6966599999999998,1.5799999999999998,1.6706599999999998,20000729,25.0599,6.01,20419303.3
2011-08-10,1.696,1.696,1.57534,1.588,23462204,23.82,-4.95,20792957.05
2011-08-11,1.60266,1.71666,1.6,1.68666,12547259,25.2999,6.22,20550971.8
